test_count,task_id,total_task_count,total_task_accurate,total_missed_deadlines,total_task_actual_inference
0,0,249,201,48,244
0,1,133,89,20,131
0,2,121,69,11,120
0,3,77,36,30,49
0,4,104,54,41,80
0,5,108,43,65,57
1,0,248,205,40,242
1,1,134,88,14,131
1,2,121,67,7,121
1,3,77,36,32,49
1,4,103,64,41,81
1,5,108,39,68,56
2,0,247,202,64,240
2,1,132,83,16,131
2,2,121,68,10,119
2,3,77,29,41,43
2,4,105,53,56,71
2,5,107,40,71,57
3,0,253,205,54,248
3,1,134,88,18,132
3,2,121,64,9,121
3,3,77,31,41,44
3,4,105,50,56,64
3,5,107,38,68,51
4,0,251,196,82,240
4,1,133,93,18,132
4,2,121,72,15,119
4,3,77,22,51,30
4,4,105,47,63,56
4,5,106,29,78,44
5,0,251,190,83,237
5,1,134,85,25,129
5,2,121,71,17,121
5,3,77,23,55,32
5,4,105,41,65,56
5,5,109,22,91,31
6,0,251,184,79,236
6,1,134,85,22,133
6,2,121,63,16,120
6,3,77,27,47,35
6,4,105,41,78,52
6,5,107,29,82,39
7,0,246,176,84,227
7,1,133,81,24,131
7,2,121,71,15,119
7,3,77,15,57,24
7,4,107,32,81,48
7,5,108,30,78,43
8,0,248,186,86,234
8,1,134,91,19,131
8,2,121,75,19,121
8,3,77,20,58,25
8,4,105,41,73,52
8,5,107,29,78,40
9,0,250,196,93,244
9,1,134,92,29,131
9,2,121,61,19,118
9,3,77,22,48,31
9,4,102,45,55,63
9,5,109,31,69,48
10,0,249,199,79,240
10,1,134,91,21,130
10,2,121,68,15,121
10,3,77,30,51,38
10,4,102,52,51,65
10,5,109,25,80,42
11,0,247,185,118,229
11,1,135,81,23,131
11,2,121,78,21,118
11,3,77,16,64,21
11,4,107,30,86,38
11,5,109,26,90,32
12,0,252,177,99,235
12,1,135,83,26,131
12,2,121,73,22,118
12,3,77,12,65,20
12,4,105,39,64,55
12,5,107,17,93,22
13,0,250,190,100,232
13,1,134,88,21,132
13,2,121,67,23,117
13,3,77,17,63,19
13,4,104,36,74,46
13,5,107,25,89,33
14,0,249,195,112,230
14,1,136,79,29,132
14,2,121,67,18,115
14,3,77,10,62,18
14,4,105,35,76,47
14,5,108,17,90,28
15,0,255,164,152,206
15,1,132,85,38,125
15,2,121,69,39,112
15,3,77,10,64,16
15,4,105,18,92,22
15,5,109,11,100,14
